wo_serial,wo_deal_name,wo_customer_code,wo_normalized_client,wo_sector,wo_owner,wo_po_date,matched_deal_row_id,matched_deal_name,matched_client_code,matched_deal_sector,matched_deal_owner,matched_deal_status,matched_deal_date,confidence_tier,match_score,match_notes
SDPLDEAL-108,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,OWNER_001,2025-08-18,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-109,Rafiki,WOCOMPANY_048,COMPANY048,Renewables,OWNER_003,2025-08-11,301.0,Rafiki,COMPANY037,Renewables,OWNER_001,Won,,MATCHED_HIGH,85.0,"High confidence composite match (85 pts, margin 30): Exact Deal Name; Matching Sector; Status: Won"
SDPLDEAL-111,Alias_162,WOCOMPANY_052,COMPANY052,Mining,,2024-11-22,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-112,Ben Tennyson,WOCOMPANY_034,COMPANY034,Renewables,,2024-05-16,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-113,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,OWNER_001,2024-12-20,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-115,Yuji Itadori,WOCOMPANY_006,COMPANY006,Renewables,,2025-03-24,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-116,Ace,WOCOMPANY_013,COMPANY013,Others,,2025-03-05,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-117,Shanks,WOCOMPANY_012,COMPANY012,Renewables,,2025-03-31,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-118,Bulbasaur,WOCOMPANY_050,COMPANY050,Renewables,,2025-03-25,311.0,Bulbasaur,COMPANY007,Renewables,OWNER_003,Won,,MATCHED_HIGH,85.0,"High confidence composite match (85 pts, margin 55): Exact Deal Name; Matching Sector; Status: Won"
SDPLDEAL-119,Sesshomaru,WOCOMPANY_017,COMPANY017,Renewables,,2024-12-03,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-120,Mr. Krabs,WOCOMPANY_031,COMPANY031,Mining,,2025-01-21,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-121,Pumbaa,WOCOMPANY_047,COMPANY047,Renewables,OWNER_004,2025-09-02,,,,,,,,UNMATCHED,30.0,Below confidence threshold (best score 30): Exact Deal Name; Conflicting Sector; Status: Won
SDPLDEAL-122,Stitch,WOCOMPANY_044,COMPANY044,Renewables,,2025-04-01,,,,,,,,UNMATCHED,30.0,Below confidence threshold (best score 30): Exact Deal Name; Conflicting Sector; Status: Won
SDPLDEAL-123,Sasuke,WOCOMPANY_002,COMPANY002,Mining,,2024-12-25,2.0,Sasuke,COMPANY091,Mining,OWNER_001,Open,,MATCHED_FUZZY,65.0,"Fuzzy composite match (65 pts, margin 55): Exact Deal Name; Matching Sector; Status: Open"
SDPLDEAL-124,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,,2025-07-24,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-125,Timon,WOCOMPANY_046,COMPANY046,Renewables,OWNER_001,2025-09-08,285.0,Timon,COMPANY038,Renewables,OWNER_001,Won,,MATCHED_HIGH,110.0,"High confidence composite match (110 pts, margin 25): Exact Deal Name; Matching Sector; Matching Owner; Status: Won"
SDPLDEAL-126,Gohan,WOCOMPANY_026,COMPANY026,Construction,OWNER_001,2025-09-10,,,,,,,,UNMATCHED,5.0,Below confidence threshold (best score 5): Exact Deal Name; Related Sector (others); Dead Deal Status
SDPLDEAL-127,Kaguya,WOCOMPANY_014,COMPANY014,Railways,OWNER_003,2025-09-12,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-128,Bugs Bunny,WOCOMPANY_028,COMPANY028,Railways,OWNER_003,2025-09-12,,,,,,,,UNMATCHED,55.0,"Ambiguous multiple candidates (best score 55, runner-up 55, margin 0)"
SDPLDEAL-129,Armin,WOCOMPANY_020,COMPANY020,Mining,OWNER_001,2025-09-10,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-130,Armin,WOCOMPANY_020,COMPANY020,Mining,OWNER_001,2025-09-11,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
